subgraph_size,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
1,0,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.001,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.1,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.2,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.3,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.4,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.5,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.6,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.7,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.8,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.9,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,0.99,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
1,1.0,0.5000,nan,nan,nan,0.6931471824645996,0.6931471824645996
2,0,0.8861,2.29768,1.46555,1.35978,0.6931469504418301,0.3958094049617984
2,0.001,0.8863,2.29941,1.46270,1.35715,0.6931469504418301,0.3960711483056745
2,0.1,0.8962,2.36860,1.54980,1.43319,0.6931469230849642,0.3951068617289296
2,0.2,0.9024,2.41775,1.58116,1.44784,0.6931469328667905,0.38849322641616046
2,0.3,0.9092,2.45412,1.60599,1.45798,0.6931468718109957,0.3826444298163312
2,0.4,0.9160,2.50064,1.63641,1.48000,0.6931468547196727,0.38407139304094856
2,0.5,0.9201,2.57583,1.70222,1.53943,0.6931467667907288,0.3796498364860459
2,0.6,0.9206,2.55867,1.67888,1.50397,0.6931467550740358,0.3696542030202042
2,0.7,0.9210,2.57805,1.66517,1.48503,0.693146694018241,0.3656243789937713
2,0.8,0.9195,2.57558,1.66015,1.47644,0.6931466656939418,0.3620496615297199
2,0.9,0.9155,2.58624,1.65228,1.46628,0.6931465777649979,0.3612481753927184
2,0.99,0.9117,2.57618,1.64235,1.45211,0.6931465220838329,0.34923857880455617
2,1.0,0.9109,2.57583,1.64164,1.45100,0.6931465108508565,0.34788055625232733
3,0,0.8712,2.12114,1.20872,1.04009,0.6931458997554453,0.3526840987401142
3,0.001,0.8712,2.12195,1.20868,1.04014,0.6931459056137917,0.3528863513007478
3,0.1,0.8816,2.18489,1.27659,1.09247,0.6931458909410523,0.3483851860782066
3,0.2,0.8906,2.25090,1.33877,1.14141,0.6931458738497295,0.34353802196607597
3,0.3,0.8976,2.34224,1.41214,1.20419,0.693145759531353,0.3381445638976514
3,0.4,0.9030,2.42782,1.45971,1.24233,0.6931457199740775,0.33243095536184697
3,0.5,0.9081,2.52213,1.50727,1.28226,0.693145599313638,0.32489831056328267
3,0.6,0.9111,2.60336,1.55550,1.32414,0.6931455109009773,0.317201469533609
3,0.7,0.9130,2.67770,1.60052,1.36585,0.6931453838984745,0.3106800671952388
3,0.8,0.9131,2.72758,1.59915,1.36424,0.6931452954858138,0.30384875187688953
3,0.9,0.9113,2.75705,1.58576,1.35138,0.6931451088786663,0.29761176503274334
3,0.99,0.9092,2.75785,1.55749,1.31960,0.693145002890966,0.2900797992917844
3,1.0,0.9089,2.75775,1.55638,1.31802,0.6931449696757538,0.2884255429718062
4,0,0.8711,2.18850,1.24492,1.03935,0.6931445057377071,0.3245634312990875
4,0.001,0.8713,2.19334,1.24784,1.04303,0.6931445003630773,0.32451735045912034
4,0.1,0.8823,2.23595,1.27882,1.05901,0.6931445364805897,0.31782594384966506
4,0.2,0.8928,2.28083,1.30344,1.06946,0.6931445667397557,0.31055147272708505
4,0.3,0.9014,2.32879,1.31327,1.06563,0.6931445041790645,0.30248370457598495
4,0.4,0.9087,2.38954,1.33208,1.07177,0.6931444943972382,0.2927941762186365
4,0.5,0.9145,2.44657,1.35035,1.07963,0.6931444044796812,0.28288301446611974
4,0.6,0.9189,2.50113,1.37086,1.09208,0.6931443624500759,0.27362357656411807
4,0.7,0.9209,2.53568,1.37492,1.09045,0.6931442329752434,0.2641339050261581
4,0.8,0.9216,2.53228,1.35568,1.06816,0.6931441523557961,0.2565155466791743
4,0.9,0.9204,2.52445,1.33522,1.04536,0.6931439784327749,0.24711934082727371
4,0.99,0.9157,2.50679,1.31853,1.03094,0.6931438900201142,0.24083881460405665
4,1.0,0.9161,2.50497,1.31752,1.02949,0.6931438240734062,0.24009059720258652
5,0,0.8810,2.31108,1.37953,1.13438,0.6931438628244873,0.30351991106305065
5,0.001,0.8812,2.31497,1.38184,1.13721,0.6931438471843145,0.30373459852848966
5,0.1,0.8899,2.34539,1.39685,1.14322,0.6931439140984559,0.299986897394182
5,0.2,0.8980,2.38705,1.41763,1.15305,0.6931439307060621,0.29429633833461244
5,0.3,0.9042,2.43729,1.46433,1.19608,0.6931438759923304,0.29175579808551627
5,0.4,0.9093,2.51072,1.54128,1.26583,0.6931438476680312,0.2838768885681713
5,0.5,0.9139,2.57629,1.59265,1.31037,0.6931437431314811,0.274487848374304
5,0.6,0.9160,2.61540,1.62323,1.33910,0.693143675733623,0.2700022664341011
5,0.7,0.9173,2.63309,1.61118,1.32556,0.6931435555569001,0.26571069204990017
5,0.8,0.9177,2.64812,1.58780,1.30005,0.693143439303657,0.2587262353078001
5,0.9,0.9165,2.65993,1.56342,1.27655,0.6931432952098313,0.2510196496711538
5,0.99,0.9154,2.64038,1.50322,1.21420,0.6931431325735328,0.2429996406956768
5,1.0,0.9146,2.65073,1.51252,1.22474,0.6931430783435178,0.242410579949913
