subgraph_size,alpha,AUC,CST,CST_equal,CST_base,loss_start_epoch,loss_end_epoch
1,0,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.001,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.1,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.2,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.3,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.4,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.5,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.6,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.7,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.8,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.9,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,0.99,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
1,1.0,0.5000,nan,nan,nan,0.6931471814376814,0.6931471814376814
2,0,0.8028,2.05825,1.32690,1.25532,0.6931455493609727,0.45021632287693786
2,0.001,0.8025,2.11042,1.36871,1.29276,0.6931455320624639,0.44347993890309445
2,0.1,0.8104,2.04992,1.31740,1.21349,0.693145655263717,0.43668615602515504
2,0.2,0.8160,1.99143,1.27865,1.14912,0.6931457289125526,0.42675049019739253
2,0.3,0.8211,1.97256,1.21598,1.05476,0.6931457398181342,0.41271320386755617
2,0.4,0.8182,1.98009,1.19552,1.01608,0.6931457519241977,0.40183692456043857
2,0.5,0.8143,2.03083,1.19235,0.99193,0.6931456493914807,0.3860002007047056
2,0.6,0.8091,2.00302,1.16866,0.95938,0.6931455849993724,0.37965408778977433
2,0.7,0.8024,2.01910,1.15856,0.93824,0.6931454329720923,0.3686003586427878
2,0.8,0.7886,2.06373,1.16213,0.94246,0.69314522831164,0.36112416063197406
2,0.9,0.7710,2.12325,1.26293,1.06446,0.6931449880272519,0.3633590125757003
2,0.99,0.7652,2.13833,1.24940,1.03989,0.6931447499124092,0.3507227388668685
2,1.0,0.7639,2.13610,1.23788,1.02744,0.69314467449901,0.34963552662829295
3,0,0.8743,2.41072,1.32292,1.06810,0.6931420650276215,0.3143846501470393
3,0.001,0.8737,2.40844,1.32285,1.06570,0.6931420985398666,0.3136358789898938
3,0.1,0.8748,2.38133,1.30069,1.02313,0.6931426092653244,0.3062130792414034
3,0.2,0.8763,2.31299,1.26833,0.97124,0.6931430468047831,0.2966881181553885
3,0.3,0.8733,2.24516,1.21634,0.90923,0.6931433117062801,0.296136304313076
3,0.4,0.8681,2.21440,1.18795,0.87098,0.6931433776026066,0.2914858254681106
3,0.5,0.8635,2.18501,1.16389,0.83866,0.6931431345412002,0.28594836804566526
3,0.6,0.8529,2.16097,1.15102,0.81970,0.6931425962335882,0.2836764417019205
3,0.7,0.8460,2.16460,1.13178,0.80891,0.6931415282820822,0.2820649286318508
3,0.8,0.8352,2.17948,1.14082,0.82241,0.6931400923612077,0.27542615332409065
3,0.9,0.8195,2.19547,1.15055,0.83945,0.6931381838699476,0.2734775672481639
3,0.99,0.8039,2.23446,1.16075,0.85815,0.6931358614004922,0.270484165366024
3,1.0,0.8027,2.23495,1.16198,0.85883,0.6931355712888774,0.2690576047963582
4,0,0.8346,2.23262,1.25548,0.97451,0.6931347095454327,0.3006297387969173
4,0.001,0.8381,2.21975,1.22731,0.94068,0.6931347547587594,0.2977867654821474
4,0.1,0.8474,2.21049,1.19707,0.88555,0.693136474542958,0.288004918696955
4,0.2,0.8464,2.17100,1.15267,0.82894,0.6931379909250407,0.2833513804964289
4,0.3,0.8587,2.17140,1.11513,0.76814,0.6931389217034211,0.26848322678483016
4,0.4,0.8547,2.11905,1.07159,0.71218,0.6931391913200634,0.2633107919422234
4,0.5,0.8565,2.12455,1.07585,0.70456,0.6931384859574532,0.2527577186333731
4,0.6,0.8602,2.18224,1.09898,0.71285,0.6931369228867529,0.23986218028264092
4,0.7,0.8497,2.15137,1.09261,0.71162,0.6931341305805392,0.23981144690912806
4,0.8,0.8430,2.16099,1.10139,0.71620,0.6931305846754887,0.23198320558423471
4,0.9,0.8294,2.17359,1.10562,0.72874,0.6931259033026784,0.22976891672949687
4,0.99,0.8026,2.21443,1.13218,0.77012,0.6931202348590157,0.2343614855652381
4,1.0,0.8010,2.21600,1.12367,0.76417,0.6931193987162071,0.2338906925074888
